bbc.mobile.news.ww	com.mobile.MainActivity
com.verizon.messaging.vzmsgs	com.verizon.mms.ui.activity.Provisioning
com.verizon.messaging.vzmsgs	.ux.conversation.activity.ConversationListActivity
com.vrbo.android	com.expedia.bookings.activity.SearchActivity
com.vrbo.android	com.qualtrics.digital.QualtricsNotificationManager
com.vzw.hss.myverizon	com.vzw.mobilefirst.setup.views.activity.SetUpActivity
com.vzw.hss.myverizon	com.qualtrics.digital.QualtricsNotificationManager
com.wbd.stream	com.wbd.fuse.appcore.FuseActivity
com.withings.wiscale2	.MainActivity
com.yelp.android	.home.ui.RootSingleActivity
com.zillow.android.zillowmap	com.zillow.android.splashscreen.SplashScreenActivity
cz.ackee.ventusky	.screens.main.MainActivity
cz.hipercalc.pro	app.hipercalc.CalculatorActivity
gov.dhs.tsa.mytsa	gov.dhs.mytsa.ui.splash.SplashActivity
jbl.stc.com	.activity.LauncherStartActivity
me.lyft.android	.ui.MainActivity
me.proton.android.drive	.ui.MainActivity
net.mullvad.mullvadvpn	.ui.MainActivity
net.sharewire.parkmobilev2	net.easypark.android.mvp.splash.SplashActivity
nz.co.vista.android.movie.metrotheatres	com.webedia.optimusprime.ui.splash.SplashActivity
org.chromium.webapk.a2eec8d03c8dc3c83_v2	org.chromium.webapk.shell_apk.h2o.H2OOpaqueMainActivity
org.chromium.webapk.a2eec8d03c8dc3c83_v2	org.chromium.webapk.shell_apk.WebApkServiceFactory
org.chromium.webapk.a3716aefdfcfcffc6_v2	org.chromium.webapk.shell_apk.h2o.H2OOpaqueMainActivity
org.chromium.webapk.a3716aefdfcfcffc6_v2	org.chromium.webapk.shell_apk.WebApkServiceFactory
org.chromium.webapk.a86124622c4ab0876_v2	org.chromium.webapk.shell_apk.h2o.H2OOpaqueMainActivity
org.chromium.webapk.a86124622c4ab0876_v2	org.chromium.webapk.shell_apk.WebApkServiceFactory
org.chromium.webapk.a899dfd78ed5530b3_v2	org.chromium.webapk.shell_apk.h2o.H2OOpaqueMainActivity
org.chromium.webapk.a899dfd78ed5530b3_v2	org.chromium.webapk.shell_apk.WebApkServiceFactory
org.chromium.webapk.ae8b3ec22556f0d4f_v2	org.chromium.webapk.shell_apk.h2o.H2OOpaqueMainActivity
org.chromium.webapk.ae8b3ec22556f0d4f_v2	org.chromium.webapk.shell_apk.WebApkServiceFactory
org.chromium.webapk.afe8cbaf49d810464_v2	org.chromium.webapk.shell_apk.h2o.H2OOpaqueMainActivity
org.chromium.webapk.afe8cbaf49d810464_v2	org.chromium.webapk.shell_apk.WebApkServiceFactory
org.jitsi.meet	.MainActivity
org.npr.android.news	org.npr.one.StartActivity
org.videolan.vlc	.StartActivity
org.wikipedia	.main.MainActivity
photo.editor.photoeditor.photoeditorpro	com.camerasideas.collagemaker.activity.DummyActivity
tool.audio.cutter.ringtonemaker	com.ijoysoft.ringtone.activity.WelcomeActivity
tv.remote.control.sonytv	.MainActivity
tv.standard.nebula	.main.view.activities.MainActivity
us.zoom.videomeetings	com.zipow.videobox.LauncherActivity
